web-scraper-order,web-scraper-start-url,pages,pages-href,item,item-href,prix,Location,superficie,nb pieces,nb chambres,nb salles de bains,etat ,Age,etage,Ca1,Ca2,Ca3,Ca4,Ca5,Ca6,Ca7,Ca8,Ca9,Ca10
1644873915-2002,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Bel appart haut standing quartier Les Pri...,https://www.mubawab.ma/fr/a/6964935/bel-appart-haut-standing-quartier-les-princesses,4 000 000 DH,"Les princesses à
				
				Casablanca","261
					m²",6 Pièces,3 Chambres,3 Salles de bains,Bon état,10-20 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Sécurité,Machine à laver
1644873909-2000,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement de 59m² en vente Résidence Le...,https://www.mubawab.ma/fr/pa/6862733/appartement-de-59m%C2%B2-en-vente-r%C3%A9sidence-les-palmiers,1 239 000 DH,"Oasis à
				
				Casablanca","59
					m²",2 Pièces,1 Chambre,1 Salle de bain,Nouveau,"1er
					étage",null,Ascenseur,Climatisation,Cuisine équipée,null,Voir la vidéo,null,null,null,null,null
1644874037-2050,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 400 m2 Plain Pied à CIL,https://www.mubawab.ma/fr/a/6881894/villa-de-400-m2-plain-pied-%C3%A0-cil,6 800 000 DH,"CIL (Hay Salam) à
				
				Casablanca","400
					m²",5 Pièces,3 Chambres,3 Salles de bains,Nouveau,10-20 ans,null,Piscine,Jardin,Marbre,null,null,null,null,null,null,null
1644873962-2021,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Villa manar côté mer bien située,https://www.mubawab.ma/fr/a/7087675/villa-manar-c%C3%B4t%C3%A9-mer-bien-situ%C3%A9e,11 000 000 DH,"El Manar - El Hank à
				
				Casablanca","651
					m²",9 Pièces,4 Chambres,4 Salles de bains,Bon état,5-10 ans,null,Terrasse,Garage,Piscine,Jardin,Vue sur mer,Chambre rangement,Salon Marocain,Salon européen,Porte blindée,null
1644874051-2056,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 525 m2 à Bagatelle,https://www.mubawab.ma/fr/a/6881358/villa-de-525-m2-%C3%A0-bagatelle,5 800 000 DH,"Polo à
				
				Casablanca","525
					m²",8 Pièces,3 Chambres,2 Salles de bains,À rénover,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644873957-2019,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Bel grand appartement haut standing,https://www.mubawab.ma/fr/a/7350625/bel-grand-appartement-haut-standing,900 000 DH,"La Gironde à
				
				Casablanca","96
					m²",5 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Sécurité,Four
1644874034-2049,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 400 m2 à longchamps,https://www.mubawab.ma/fr/a/6880845/villa-de-400-m2-%C3%A0-longchamps,7 500 000 DH,"Longchamps (Hay Al Hanâa) à
				
				Casablanca","400
					m²",6 Pièces,2 Chambres,2 Salles de bains,À rénover,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644873877-1986,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement addoha 1ain sebaa,https://www.mubawab.ma/fr/a/7365607/appartement-addoha-1ain-sebaa,500 000 DH,"Aïn Sebaâ à
				
				Casablanca","56
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,"2ème
					étage",Carrelage,Cuisine équipée,null,null,null,null,null,null,null,null
1644874004-2037,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Vente magnifique appartement 192m² Triang...,https://www.mubawab.ma/fr/a/7147623/vente-magnifique-appartement-192m%C2%B2-triangle-d-or,4 200 000 DH,"Triangle d'Or à
				
				Casablanca","192
					m²",5 Pièces,3 Chambres,3 Salles de bains,Bon état,null,null,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Cheminée,Sécurité,null,null
1644873939-2011,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Vente appartement à azhar essalam oulfa c...,https://www.mubawab.ma/fr/a/7365770/vente-appartement-%C3%A0-azhar-essalam-oulfa-casa,357 000 DH,"Oulfa à
				
				Casablanca","51
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,null,Antenne parabolique,Porte blindée,Carrelage,Cuisine équipée,null,null,null,null,null,null
1644873941-2012,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,CIL villa à vendre,https://www.mubawab.ma/fr/a/7326076/cil-villa-%C3%A0-vendre,4 300 000 DH,"Longchamps (Hay Al Hanâa) à
				
				Casablanca","160
					m²",6 Pièces,4 Chambres,2 Salles de bains,Nouveau,null,null,Terrasse,Garage,Jardin,Salon Marocain,Salon européen,Climatisation,Double vitrage,Sécurité,null,null
1644873861-1979,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Villa a vendre californie,https://www.mubawab.ma/fr/a/6944683/villa-a-vendre-californie,12 900 000 DH,"Californie à
				
				Casablanca","10007
					m²",12 Pièces,5 Chambres,5 Salles de bains,Bon état,10-20 ans,null,Terrasse,Garage,Piscine,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Double vitrage,Porte blindée
1644873856-1977,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Villa jumelée a vendre 500 m2 a Ain Diab,https://www.mubawab.ma/fr/a/7360402/villa-jumel%C3%A9e-a-vendre-500-m2-a-ain-diab,8 200 000 DH,"Ain Diab à
				
				Casablanca","500
					m²",5 Pièces,4 Chambres,3 Salles de bains,Bon état,null,null,Terrasse,Garage,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Porte blindée,null
1644873995-2033,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Appartement de 81m² en vente Résidence Di...,https://www.mubawab.ma/fr/pa/7157770/appartement-de-81m%C2%B2-en-vente-r%C3%A9sidence-diaz,1 634 000 DH,"Maârif Extension à
				
				Casablanca","81
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,"4ème
					étage",null,Ascenseur,Climatisation,Cuisine équipée,null,Voir la vidéo,null,null,null,null,null
1644874016-2041,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 728 m2 à Résidence Fermée à Cali...,https://www.mubawab.ma/fr/a/6882028/villa-de-728-m2-%C3%A0-r%C3%A9sidence-ferm%C3%A9e-%C3%A0-californie,9 000 000 DH,"Californie à
				
				Casablanca","728
					m²",9 Pièces,4 Chambres,3 Salles de bains,Nouveau,5-10 ans,null,Piscine,Jardin,Marbre,null,null,null,null,null,null,null
1644874014-2040,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Belle villa moderne récente de 563 m2 à l...,https://www.mubawab.ma/fr/a/6881183/belle-villa-moderne-r%C3%A9cente-de-563-m2-%C3%A0-l-oasis,8 500 000 DH,"Oasis à
				
				Casablanca","563
					m²",7 Pièces,4 Chambres,3 Salles de bains,Nouveau,1-5 ans,null,Piscine,Jardin,Marbre,null,null,null,null,null,null,null
1644873849-1974,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Résidence M Ferme Bretonne: Appartement 1...,https://www.mubawab.ma/fr/a/7306089/r%C3%A9sidence-m-ferme-bretonne-appartement-133m%C2%B2,2 550 000 DH,"Ferme Bretonne (Hay Arraha) à
				
				Casablanca","133
					m²",4 Pièces,3 Chambres,3 Salles de bains,Nouveau,"2ème
					étage",null,Terrasse,Garage,Ascenseur,Piscine,Concierge,Climatisation,Double vitrage,Antenne parabolique,Cuisine équipée,null
1644874007-2038,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Duplex de folie de 66m à ain sebaa,https://www.mubawab.ma/fr/a/7358326/duplex-de-folie-de-66m-%C3%A0-ain-sebaa,759 000 DH,"Aïn Sebaâ à
				
				Casablanca","66
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,"2ème
					étage",Garage,Ascenseur,Sécurité,Porte blindée,Marbre,Cuisine équipée,Four,null,null,null
1644873911-2001,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,"Appartement au RDC de 89m² en vente, Le P...",https://www.mubawab.ma/fr/pa/7347258/appartement-au-rdc-de-89m%C2%B2-en-vente-le-prestige-californie,1 262 600 DH,"Californie à
				
				Casablanca","89
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,null,null,Climatisation,Cuisine équipée,Four,null,Voir la vidéo,null,null,null,null,null
1644873960-2020,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Très bel appartement marina vue sur mer,https://www.mubawab.ma/fr/a/7316675/tr%C3%A8s-bel-appartement-marina-vue-sur-mer,7 700 000 DH,"Bourgogne Ouest à
				
				Casablanca","238
					m²",6 Pièces,3 Chambres,3 Salles de bains,Bon état,1-5 ans,"7ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Vue sur mer,Salon Marocain,Salon européen,Climatisation,Cheminée,null
1644874065-2062,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Appartement de 59m² seule façade en vente...,https://www.mubawab.ma/fr/pa/7126482/appartement-de-59m%C2%B2-seule-fa%C3%A7ade-en-vente-r%C3%A9sidence-salabel,null,"Bernoussi à
				
				Casablanca","59
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,null,null,null,null,null,null,null,null,null,null
1644873944-2013,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,CIL villa à vendre,https://www.mubawab.ma/fr/a/7306592/cil-villa-%C3%A0-vendre,6 200 000 DH,"CIL (Hay Salam) à
				
				Casablanca","360
					m²",7 Pièces,4 Chambres,4 Salles de bains,Nouveau,1-5 ans,null,Terrasse,Garage,Jardin,Salon Marocain,Salon européen,Climatisation,Double vitrage,Antenne parabolique,Marbre,null
1644873902-1997,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement de 87m² en vente Les Jardins...,https://www.mubawab.ma/fr/pa/7190023/appartement-de-87m%C2%B2-en-vente-les-jardins-de-ain-seba%C3%A2-2,1 023 890 DH,"Aïn Sebaâ à
				
				Casablanca","87
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,"1er
					étage",null,Ascenseur,Jardin,Sécurité,Cuisine équipée,Voir la vidéo,null,null,null,null,null
1644873907-1999,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement de 103m² en vente Résidence Ô...,https://www.mubawab.ma/fr/pa/6881329/appartement-de-103m%C2%B2-en-vente-r%C3%A9sidence-%C3%B4-maarif,2 005 500 DH,"Maârif à
				
				Casablanca","103
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",null,Ascenseur,Climatisation,Sécurité,Cuisine équipée,Voir la vidéo,null,null,null,null,null
1644874021-2043,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa Neuve Moderne de 733 m2 à Longchamp...,https://www.mubawab.ma/fr/a/6880851/villa-neuve-moderne-de-733-m2-%C3%A0-longchamps,15 000 000 DH,"Longchamps (Hay Al Hanâa) à
				
				Casablanca","733
					m²",7 Pièces,4 Chambres,3 Salles de bains,Nouveau,1-5 ans,null,Piscine,Jardin,Marbre,null,null,null,null,null,null,null
1644874063-2061,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Appartement de 78m² en vente Résidence Al...,https://www.mubawab.ma/fr/pa/7284122/appartement-de-78m%C2%B2-en-vente-r%C3%A9sidence-al-hamd-2,783 000 DH,"City Dar Es Salaam à
				
				Casablanca","78
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,"2ème
					étage",null,Ascenseur,Cuisine équipée,Four,null,Voir la vidéo,null,null,null,null,null
1644873964-2022,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Vente d'un bel appartement à Casablanca...,https://www.mubawab.ma/fr/a/7040038/vente-d-un-bel-appartement-%C3%A0-casablanca-bourgogne-6-pi%C3%A8ces-confortables-garage-et-terrasse,2 000 000 DH,"Bourgogne Est à
				
				Casablanca","119
					m²",6 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,null,Terrasse,Garage,Ascenseur,Jardin,Vue sur mer,Salon européen,Climatisation,Antenne parabolique,Marbre,null
1644874041-2052,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 665 m2 à Bagatelle Polo,https://www.mubawab.ma/fr/a/6881364/villa-de-665-m2-%C3%A0-bagatelle-polo,7 000 000 DH,"Polo à
				
				Casablanca","665
					m²",7 Pièces,3 Chambres,2 Salles de bains,À rénover,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644874080-2067,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Anfa Superieur superbe Villa Moderne 717...,https://www.mubawab.ma/fr/a/7337926/anfa-superieur-superbe-villa-moderne-717-metres,22 797 000 DH,"Anfa Supérieur à
				
				Casablanca","717
					m²",7 Pièces,5 Chambres,5 Salles de bains,Nouveau,Moins d'un an,null,Terrasse,Garage,Piscine,Jardin,Concierge,Chambre rangement,Salon européen,Climatisation,Antenne parabolique,Four
1644874070-2064,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Appartement de 108m² en vente Résidence Ô...,https://www.mubawab.ma/fr/pa/6846487/appartement-de-108m%C2%B2-en-vente-r%C3%A9sidence-%C3%B4-maarif,2 042 500 DH,"Maârif à
				
				Casablanca","108
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"3ème
					étage",null,Ascenseur,Climatisation,Sécurité,Cuisine équipée,Voir la vidéo,null,null,null,null,null
1644874032-2048,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 1400 m2 à Longchamps,https://www.mubawab.ma/fr/a/6880843/villa-de-1400-m2-%C3%A0-longchamps,17 000 000 DH,"Longchamps (Hay Al Hanâa) à
				
				Casablanca","1400
					m²",10 Pièces,4 Chambres,3 Salles de bains,Bon état,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644874058-2059,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 300 m2 à Résidence fermée à Cali...,https://www.mubawab.ma/fr/a/6882007/villa-de-300-m2-%C3%A0-r%C3%A9sidence-ferm%C3%A9e-%C3%A0-californie,5 800 000 DH,"Californie à
				
				Casablanca","300
					m²",9 Pièces,4 Chambres,3 Salles de bains,Nouveau,5-10 ans,null,Jardin,Marbre,null,null,null,null,null,null,null,null
1644873891-1992,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement a vendre,https://www.mubawab.ma/fr/a/7209475/appartement-a-vendre,290 000 DH,"Al Madina Aljadida à
				
				Casablanca","55
					m²",3 Pièces,3 Chambres,1 Salle de bain,Bon état,1-5 ans,"3ème
					étage",null,null,null,null,null,null,null,null,null,null
1644874089-2071,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Vente magnifique villa 390m² vue sur mer...,https://www.mubawab.ma/fr/a/7238347/vente-magnifique-villa-390m%C2%B2-vue-sur-mer-ain-diab,8 200 000 DH,"Ain Diab à
				
				Casablanca","390
					m²",9 Pièces,4 Chambres,5 Salles de bains,Bon état,null,null,Terrasse,Garage,Piscine,Jardin,Vue sur mer,Salon Marocain,Salon européen,Climatisation,Cheminée,null
1644873872-1984,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement à l'achat à Casablanca Financ...,https://www.mubawab.ma/fr/a/7365611/appartement-%C3%A0-l-achat-%C3%A0-casablanca-finance-city-surface-de-60-m%C2%B2,580 000 DH,"Casablanca Finance City à
				
				Casablanca","60
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,"1er
					étage",null,null,null,null,null,null,null,null,null,null
1644873854-1976,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Résidence M Ain Sebaâ,https://www.mubawab.ma/fr/a/7307371/r%C3%A9sidence-m-ain-seba%C3%A2,780 000 DH,"Aïn Sebaâ à
				
				Casablanca","77
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",null,Garage,Ascenseur,Concierge,Climatisation,Double vitrage,Antenne parabolique,Marbre,Cuisine équipée,null,null
1644874011-2039,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 580 m2 à Longchamps,https://www.mubawab.ma/fr/a/6881371/villa-de-580-m2-%C3%A0-longchamps,12 000 000 DH,"Longchamps (Hay Al Hanâa) à
				
				Casablanca","580
					m²",7 Pièces,4 Chambres,3 Salles de bains,Nouveau,5-10 ans,null,Jardin,Marbre,null,null,null,null,null,null,null,null
1644874082-2068,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Magnifique appartement de 130 m² val fleu...,https://www.mubawab.ma/fr/a/7358211/magnifique-appartement-de-130-m%C2%B2-val-fleuri,1 780 000 DH,"Val Fleury à
				
				Casablanca","130
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,"3ème
					étage",null,Garage,Ascenseur,Concierge,Marbre,Four,null,null,null,null,null
1644874056-2058,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa de 370 m2 dans Résidence sécurisée...,https://www.mubawab.ma/fr/a/6880989/villa-de-370-m2-dans-r%C3%A9sidence-s%C3%A9curis%C3%A9e-ain-diab,6 500 000 DH,"Ain Diab à
				
				Casablanca","370
					m²",7 Pièces,4 Chambres,3 Salles de bains,Bon état,5-10 ans,null,Piscine,Jardin,Marbre,null,null,null,null,null,null,null
1644874060-2060,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa Commerciale 1017 m2 à Bd Frankiln R...,https://www.mubawab.ma/fr/a/6881388/villa-commerciale-1017-m2-%C3%A0-bd-frankiln-roosevet,25 000 000 DH,"Anfa à
				
				Casablanca","1017
					m²",8 Pièces,4 Chambres,3 Salles de bains,À rénover,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644873932-2008,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Appartement a vendre racine,https://www.mubawab.ma/fr/a/7235287/appartement-a-vendre-racine,3 500 000 DH,"Racine à
				
				Casablanca","183
					m²",10 Pièces,3 Chambres,3 Salles de bains,Nouveau,10-20 ans,"5ème
					étage",Garage,Ascenseur,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Antenne parabolique,Cuisine équipée,Réfrigérateur
1644874087-2070,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Magnifique villa 1000 m² à Californie/Les...,https://www.mubawab.ma/fr/a/7346046/magnifique-villa-1000-m%C2%B2-%C3%A0-californie-les-cr%C3%AAtes,12 900 000 DH,"Californie à
				
				Casablanca","1000
					m²",12 Pièces,7 Chambres,6 Salles de bains,Nouveau,5-10 ans,null,Terrasse,Garage,Piscine,Jardin,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Cheminée,null
1644873868-1982,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Appartement a vendre a Casablanca SBATA,https://www.mubawab.ma/fr/a/7365588/appartement-a-vendre-a-casablanca-sbata,560 000 DH,"Jamila 5 à
				
				Casablanca","72
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,20-30 ans,"3ème
					étage",Terrasse,Chambre rangement,Salon Marocain,Antenne parabolique,Carrelage,null,null,null,null,null
1644873983-2030,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Villa de 2175 m2 Morcelable en 2 Lots à A...,https://www.mubawab.ma/fr/a/6881534/villa-de-2175-m2-morcelable-en-2-lots-%C3%A0-anfa-sup,40 000 000 DH,"Anfa Supérieur à
				
				Casablanca","2175
					m²",6 Pièces,3 Chambres,2 Salles de bains,À rénover,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644873988-2032,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Appartement à vendre à Belvédère. 3 chamb...,https://www.mubawab.ma/fr/a/7201959/appartement-%C3%A0-vendre-%C3%A0-belv%C3%A9d%C3%A8re-3-chambres-agr%C3%A9ables-ascenseur-et-terrasse,1 750 000 DH,"Belvédère à
				
				Casablanca","196
					m²",3 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"1er
					étage",Terrasse,Ascenseur,Concierge,Antenne parabolique,Carrelage,null,null,null,null,null
1644873870-1983,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,20,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:20,Joli appartement à vendre quartier des hô...,https://www.mubawab.ma/fr/a/7272372/joli-appartement-%C3%A0-vendre-quartier-des-h%C3%B4pitaux,1 420 000 DH,"Les Hôpitaux à
				
				Casablanca","Baisse du prix
									130 000 DH",3 Pièces,2 Chambres,3 Salles de bains,Nouveau,1-5 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Salon Marocain,Salon européen,Climatisation,Marbre,Micro-ondes
1644873955-2018,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Derniere Occasion,https://www.mubawab.ma/fr/a/7365793/derniere-occasion,1 500 000 DH,"Nassim 1 à
				
				Casablanca","136
					m²",5 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Chambre rangement,Salon Marocain,Salon européen,Antenne parabolique,Marbre,null
1644873946-2014,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Appartement à l'achat à Derb Milan Hay Om...,https://www.mubawab.ma/fr/a/7365784/appartement-%C3%A0-l-achat-%C3%A0-derb-milan-hay-omar-bnou-alkhattab-3-pi%C3%A8ces-confortables-ascenseur-et-terrasse,650 000 DH,"Derb Milan (Hay Omar Bnou Alkhattab) à
				
				Casablanca","65
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"3ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Salon Marocain,Antenne parabolique,Sécurité,Four,Internet
1644873978-2028,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,19,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:19,Villa de 725 m2 à CHANTILLY,https://www.mubawab.ma/fr/a/6880975/villa-de-725-m2-%C3%A0-chantilly,12 000 000 DH,"Anfa à
				
				Casablanca","725
					m²",8 Pièces,4 Chambres,3 Salles de bains,Bon état,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
1644874028-2046,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:17,18,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:18,Villa Commerciale de 435 m2 à Rue Ifrane...,https://www.mubawab.ma/fr/a/6881382/villa-commerciale-de-435-m2-%C3%A0-rue-ifrane-cil,9 000 000 DH,"CIL (Hay Salam) à
				
				Casablanca","435
					m²",7 Pièces,4 Chambres,2 Salles de bains,À rénover,10-20 ans,null,Jardin,Carrelage,null,null,null,null,null,null,null,null
